id,name,parent_id,level,path_names,path_ids
8e655f5e-4bac-403a-8db0-8b8bec46a7fb,Основные строительные работы,,0,Основные строительные работы,8e655f5e-4bac-403a-8db0-8b8bec46a7fb
af5d5d96-c94a-4995-be52-31cd67159f90,Бетонные работы,8e655f5e-4bac-403a-8db0-8b8bec46a7fb,1,Основные строительные работы/Бетонные работы,8e655f5e-4bac-403a-8db0-8b8bec46a7fb/af5d5d96-c94a-4995-be52-31cd67159f90
3bcce338-8b8a-404b-a060-f1a1c9f03530,Разное,af5d5d96-c94a-4995-be52-31cd67159f90,2,Основные строительные работы/Бетонные работы/Разное,8e655f5e-4bac-403a-8db0-8b8bec46a7fb/af5d5d96-c94a-4995-be52-31cd67159f90/3bcce338-8b8a-404b-a060-f1a1c9f03530
e7fc9718-72cf-44cf-99cf-4f33539f829b,Отделка,,0,Отделка,e7fc9718-72cf-44cf-99cf-4f33539f829b
46eb4383-3a61-4164-a229-c908ad83233d,Этап №0,,0,Этап №0,46eb4383-3a61-4164-a229-c908ad83233d
2dc25479-d6be-4277-bd96-a5b77d016520,Этап №0,,0,Этап №0,2dc25479-d6be-4277-bd96-a5b77d016520
619d75ba-1fb5-4844-8d2b-d0d85ada8f3a,Демонта,46eb4383-3a61-4164-a229-c908ad83233d,1,Этап №0/Демонта,46eb4383-3a61-4164-a229-c908ad83233d/619d75ba-1fb5-4844-8d2b-d0d85ada8f3a
02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,Демонтаж,46eb4383-3a61-4164-a229-c908ad83233d,1,Этап №0/Демонтаж,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd
6cc4e07d-662f-41fa-8990-79c78a1e963b,Бытовая техника,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Бытовая техника,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/6cc4e07d-662f-41fa-8990-79c78a1e963b
ff2085ff-8cc7-4101-a389-986d06ab17a4,Кухня,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Кухня,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/ff2085ff-8cc7-4101-a389-986d06ab17a4
9896a8f9-abcc-46b3-b281-6a312e80a683,Мебель,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Мебель,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/9896a8f9-abcc-46b3-b281-6a312e80a683
799c23ce-1785-48e5-a071-fdaadcb3dbbc,Освещение,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Освещение,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/799c23ce-1785-48e5-a071-fdaadcb3dbbc
fd6f8d4a-23cc-4b24-8307-8aa932c20d32,Полы,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Полы,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/fd6f8d4a-23cc-4b24-8307-8aa932c20d32
725e86f6-4fbb-416e-972c-d39b3d8a124d,Потолок,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Потолок,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/725e86f6-4fbb-416e-972c-d39b3d8a124d
73350737-eba8-47da-bd53-fc580d212a8e,Сантехника,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Сантехника,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/73350737-eba8-47da-bd53-fc580d212a8e
c957d58c-e923-430f-a658-959cae68a84f,Стены,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Стены,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/c957d58c-e923-430f-a658-959cae68a84f
8d74af1f-271c-4ea8-be2c-cfd237d7948c,Электрика,02a42337-d7f9-4854-8ece-3a5f4cc6bfdd,2,Этап №0/Демонтаж/Электрика,46eb4383-3a61-4164-a229-c908ad83233d/02a42337-d7f9-4854-8ece-3a5f4cc6bfdd/8d74af1f-271c-4ea8-be2c-cfd237d7948c
