id,code,name,unit,base_price,category_id,category_name,is_global,tenant_id
18,1,1,м,1,3bcce338-8b8a-404b-a060-f1a1c9f03530,Разное,,4eded664-27ac-4d7f-a9d8-f8340751ceab
3542,1–70,Алмазная резка отверстий,шт,2500.00,48278306-7070-4069-9c3c-fd3c52352ca0,Проемы,1,
4304,2–508,Алмазная резка отверстий бетон,шт,2500.00,,,1,
3543,1–71,Алмазная резка проема из монолитного бетона,шт,9375.00,48278306-7070-4069-9c3c-fd3c52352ca0,Проемы,1,
9220,2-144,Алмазное бурение бетонной/кирпичной стены диаметром 110мм,шт.,3600.00,b2e1ceab-e8f4-428f-899c-b239b3d282d6,Монтаж труб и арматуры,,4eded664-27ac-4d7f-a9d8-f8340751ceab
9219,2-143,Алмазное бурение бетонной/кирпичной стены диаметром 50мм,шт.,3150.00,b2e1ceab-e8f4-428f-899c-b239b3d282d6,Монтаж труб и арматуры,,4eded664-27ac-4d7f-a9d8-f8340751ceab
4306,2–510,Алмазное бурение отверстий d80 мм в бетонных перекрытиях и стенах,шт,1720.00,,,1,
4305,2–509,Алмазное бурение отверстий в бетоне d150 мм,шт,4690.00,,,1,
3653,1–181,Армирование внешних углов,м.п.,320.00,2712e411-5f9a-4590-897f-6118a697a51d,Стены,1,
6442,6–582,Армирование декоративных элементов дюбелями,м.п.,195.00,65db9ad5-44af-41d5-abde-9e272c3aa33c,Элементы,1,
3654,1–182,Армирование кладки,м2,115.00,2712e411-5f9a-4590-897f-6118a697a51d,Стены,1,
3655,1–183,Армирование металлической сетки под штукатурку,м2,165.00,2712e411-5f9a-4590-897f-6118a697a51d,Стены,1,
5754,5–70,Армирование откосов с дюбелями под плитку или камень,м.п.,190.00,f50b18c2-6973-42b3-8746-d732ea24e7a8,Проемы,1,
9180,1-104,Армирование проёма уголком/арматурой,проём,450.00,3f956719-5000-4aef-bc1b-5c27d38687e2,"Перегородки блочные, кирпичные",,4eded664-27ac-4d7f-a9d8-f8340751ceab
5525,4–207,Армирование сетью малярной или стеклохолстом,м2,115.00,fa03fff5-3873-438d-bfbc-d59399fe20f3,Стены,1,
3656,1–184,Армирование стен,м2,165.00,2712e411-5f9a-4590-897f-6118a697a51d,Стены,1,
3657,1–185,Армирование стен штукатурной сеткой,м2,165.00,2712e411-5f9a-4590-897f-6118a697a51d,Стены,1,
4953,3–35,Армирование стяжки пола,м2,125.00,2dddc956-6158-4f93-9c91-6dca90107f64,Полы,1,
4954,3–36,Армирование стяжки сеткой 50х50,м2,85.00,2dddc956-6158-4f93-9c91-6dca90107f64,Полы,1,
9193,1-117,Армирование штукатурного слоя металлической сеткой с креплением к стене (для ЦПС),м2,130.00,daa6bf2a-d1aa-4cf0-ba2c-c76b013f32b3,Штукатурные работы,,4eded664-27ac-4d7f-a9d8-f8340751ceab
5419,4–101,Бандажирование швов с проклеиванием серпянки на потолок ГКЛ,м2,65.00,fb51dcf5-9ebb-4cec-88aa-1d0de363329b,Потолки,1,
5045,3–127,Бескаркасная звукоизоляция поверхности потолка,м2,250.00,10ad9d60-be10-47cc-9985-912a8bd7c335,Потолки,1,
4423,2–627,Бетонирование коробки установочной в готовой штробе,шт,440.00,a0deed17-5824-40d1-b102-2b799dd6c12d,Электрические сети,1,
4424,2–628,Бетонирование основания под блок розеток,шт,1250.00,9db80786-24f4-4aa4-a5e6-6975a8d4a9e0,Электрические сети,1,
4307,2–511,"Бурение отверстий ж/б, полнотелый кирпич, дерево",шт,250.00,,,1,
4308,2–512,Бурение отверстий под дюбель-гвоздь 6х40,шт,10.00,,,1,
