name,code,phase,section,subsection,unit,price
1,1,Основные строительные работы,Бетонные работы,Разное,м,1
Демонтаж вытяжки,0-01,Этап №0,Демонтаж,Бытовая техника,шт,380.00
Демонтаж духовых шкафов,0-02,Этап №0,Демонтаж,Бытовая техника,шт,380.00
Демонтаж посудомоечных машин,0-03,Этап №0,Демонтаж,Бытовая техника,шт,380.00
Демонтаж стиральных машин,0-04,Этап №0,Демонтаж,Бытовая техника,шт,380.00
Демонтаж электроплит,0-05,Этап №0,Демонтаж,Бытовая техника,шт,380.00
Демонтаж кухни,0-06,Этап №0,Демонтаж,Кухня,шт,170.00
Демонтаж стеллажа,0-07,Этап №0,Демонтаж,Мебель,шт,270.00
Демонтаж дверного проёма,0-08,Этап №0,Демонта,Межкомнатные двери,шт,750.00
Демонтаж межкомнатных дверей,0-09,Этап №0,Демонта,Межкомнатные двери,шт,750.00
Демонтаж люстр,0-11,Этап №0,Демонтаж,Освещение,шт,230.00
Демонтаж светильников,0-12,Этап №0,Демонтаж,Освещение,шт,230.00
Очистка потолка от масляной краски или клея,0-13,Этап №0,Демонтаж,Потолок,м2,230.00
Очистка потолка от шпаклевки/водоимульсионной краски,0-14,Этап №0,Демонтаж,Потолок,м2,200.00
Демонтаж штукатурки с потолка,0-15,Этап №0,Демонтаж,Потолок,м2,180.00
"Демонтаж с потолка плитки из полиуретана, полистирола",0-16,Этап №0,Демонтаж,Потолок,м2,120.00
Демонтаж старых обоев,0-17,Этап №0,Демонтаж,Потолок,м2,120.00
"Демонтаж потолка из ГКЛ, панелей ПВХ, вагонки,",0-18,Этап №0,Демонтаж,Потолок,м2,191.00
Демонтаж реечного потолка,0-19,Этап №0,Демонтаж,Потолок,м2,112.00
"Демонтаж подвесных потолков ""Армстронг"", зеркального, натяжного потолка",0-20,Этап №0,Демонтаж,Потолок,м2,90.00
Демонтаж карниза,0-21,Этап №0,Демонтаж,Потолок,шт.,264.00
Демонтаж потолочного плинтуса (без сохранения),0-22,Этап №0,Демонтаж,Потолок,м.пог,54.00
Демонтаж вентиляционных коробов,0-23,Этап №0,Демонтаж,Потолок,м.пог,256.00
"Демонтаж потолков из АЦЭИДа, гипсолита",0-24,Этап №0,Демонтаж,Потолок,м2,270.00
Демонтаж стен из ПГП,0-25,Этап №0,Демонтаж,Стены,м2,250.00
Демонтаж  кирпичных стен в 1/2  кирпича,0-26,Этап №0,Демонтаж,Стены,м2,340.00
Демонтаж стен из кирпича (в 1 кирпич),0-27,Этап №0,Демонтаж,Стены,м2,390.00
Демонтаж  бетонных НЕ несущих стен (толщиной до 80мм),0-28,Этап №0,Демонтаж,Стены,м2,1200.00
"Демонтаж  оконных, дверных откосов из штукатурки",0-29,Этап №0,Демонтаж,Стены,м.пог,220.00
Демонтаж штукатурки толщиной до 3см.,0-30,Этап №0,Демонтаж,Стены,м2,150.00
Демонтаж старой керамической плитки и плиточного клея,0-31,Этап №0,Демонтаж,Стены,м2,270.00
Демонтаж старых обоев (за слой),0-32,Этап №0,Демонтаж,Стены,м2,60.00
"Расчистка масляной, водоэмульсионной краски со стен",0-33,Этап №0,Демонтаж,Стены,м2,215.00
Демонтаж подоконника,0-34,Этап №0,Демонтаж,Стены,м.пог,99.00
Демонтаж наличника,0-35,Этап №0,Демонтаж,Стены,м.пог,27.00
Демонтаж дверного блока без сохранения,0-36,Этап №0,Демонтаж,Стены,шт.,400.00
Демонтаж оконного блока без сохранения,0-37,Этап №0,Демонтаж,Стены,шт.,600.00
"Демонтаж фальшстены из ГКЛ, панелей ПВХ с каркасом, вагонки",0-38,Этап №0,Демонтаж,Стены,м2,153.00
Очистка шпаклевки со стен,0-39,Этап №0,Демонтаж,Стены,м2,120.00
Демонтаж арки,0-40,Этап №0,Демонтаж,Стены,м2,202.00
Демонтаж шкафов и антресолей (без сохранения) .,0-41,Этап №0,Демонтаж,Стены,м3,423.00
Демонтаж стен сан-тех кабины (коробка сан узла)из азбестоцементных плит с арматурой,0-42,Этап №0,Демонтаж,Стены,шт.,5310.00
Демонтаж плинтусов,0-43,Этап №0,Демонтаж,Полы,м.пог,36.00
"Демонтаж приклеенного линолеума, плитки из ПВХ, оргалита, ламината, паркетной/инженерной доски",0-44,Этап №0,Демонтаж,Полы,м2,178.00
