name,sku,category,unit,price,supplier
Лампа светодиодная Hesler E27 2700К 11 Вт 1045 Лм 230 В груша А60 матовая,680063,Прочие,шт,66.00,Петрович
Патрон для лампы E27 Svet керамический IP20 (1011-00010),625374,Прочие,шт,24.00,Петрович
Мешок для мусора 75 л 550х1050 мм полипропиленовый белый,104800,Прочие,шт,26.00,Петрович
Зубило плоское SDS-plus КМ (815747) 40х250 мм,815747,Прочие,шт,234.00,Петрович
Зубило плоское SDS-plus КМ (815746) 22х250 мм,815746,Прочие,шт,126.00,Петрович
Баллон гвоздезабивателя Toua на 1000 гвоздей,885922,Электрика,шт,552.00,Петрович
"Гвозди кассетные Toua для гвоздезабивного пистолета 3,05х22 мм оцинкованные гладкие (1000 шт.)",941764,Электрика,шт,1602.00,Петрович
"Гвозди кассетные Toua для гвоздезабивного пистолета 2,7х22 мм оцинкованные гладкие (1000 шт.)",941760,Электрика,шт,1293.00,Петрович
"Средство для очистки эпоксидных остатков Litokol Litonet Evo 0,5 л",788978,Прочие,шт,1728.00,Петрович
Тестовый материал API,MAT-TEST-1766916642991,Тестовая категория,шт,1500.00,Тестовый поставщик
Газобетон Istkult 50х250х625 мм D500,М-01,Стеновые и фасадные материалы,шт,63.00,Istkult
Газобетон Bonolit 100х250х600 мм D500,М-02,Стеновые и фасадные материалы,шт,112.50,Bonolit
Газобетон Istkult 75х250х625 мм D500,М-03,Стеновые и фасадные материалы,шт,95.00,Istkult
Кирпич рядовой Мстера полнотелый М150 250х120х65 мм 1NF,М-04,Стеновые и фасадные материалы,шт,25.80,Мстера
Пазогребневая плита Knauf Гидро 667х500х80 мм полнотелая,М-05,Стеновые и фасадные материалы,шт,509.00,Knauf
Газобетон Poritep 100х250х625 мм D500,М-06,Стеновые и фасадные материалы,шт,111.72,Poritep
Скоба Knauf С1 120х100 мм для пазогребневой плиты,М-07,Стеновые и фасадные материалы,шт,22.00,Knauf
Пазогребневая плита Гипсополимер 667х500х80 мм полнотелая,М-08,Стеновые и фасадные материалы,шт,346.00,Гипсополимер
Кирпич рядовой ЛСР (РКЗ) полнотелый М250 250х120х65 мм 1NF,М-09,Стеновые и фасадные материалы,шт,36.00,ЛСР
Пазогребневая плита Гипсополимер Гидро 667х500х80 мм полнотелая,М-10,Стеновые и фасадные материалы,шт,404.00,Гипсополимер
Газобетон Poritep 200х250х625 мм D500,М-11,Стеновые и фасадные материалы,шт,223.44,Poritep
Газобетон Bonolit 150х250х600 мм D500,М-12,Стеновые и фасадные материалы,шт,168.75,Bonolit
Фундаментный блок ФБС 390х190х188 мм,М-13,Стеновые и фасадные материалы,шт,230.00,
Кирпич рядовой Боровичи полнотелый М150 250х120х65 мм 1NF,М-14,Стеновые и фасадные материалы,шт,26.00,Боровичский комбинат строительных материалов
Газобетон Bonolit 200х250х600 мм D500,М-15,Стеновые и фасадные материалы,шт,225.00,Bonolit
Пазогребневая плита Knauf Гидро 667х500х100 мм полнотелая,М-16,Стеновые и фасадные материалы,шт,604.00,Knauf
Газобетон Istkult 100х250х625 мм D500,М-17,Стеновые и фасадные материалы,шт,119.00,Istkult
