Код;Наименование;Ед изм;Базовая цена;Фаза;Раздел;Подраздел
0-08;Демонтаж дверного проёма;шт;750.00;Этап №0;Демонта;Межкомнатные двери
0-09;Демонтаж межкомнатных дверей;шт;750.00;Этап №0;Демонта;Межкомнатные двери
0-01;Демонтаж вытяжки;шт;380.00;Этап №0;Демонтаж;Бытовая техника
0-02;Демонтаж духовых шкафов;шт;380.00;Этап №0;Демонтаж;Бытовая техника
0-03;Демонтаж посудомоечных машин;шт;380.00;Этап №0;Демонтаж;Бытовая техника
0-04;Демонтаж стиральных машин;шт;380.00;Этап №0;Демонтаж;Бытовая техника
0-05;Демонтаж электроплит;шт;380.00;Этап №0;Демонтаж;Бытовая техника
0-06;Демонтаж кухни;шт;170.00;Этап №0;Демонтаж;Кухня
0-07;Демонтаж стеллажа;шт;270.00;Этап №0;Демонтаж;Мебель
0-11;Демонтаж люстр;шт;230.00;Этап №0;Демонтаж;Освещение
0-12;Демонтаж светильников;шт;230.00;Этап №0;Демонтаж;Освещение
0-43;Демонтаж плинтусов;м.пог;36.00;Этап №0;Демонтаж;Полы
0-44;Демонтаж приклеенного линолеума, плитки из ПВХ, оргалита, ламината, паркетной/инженерной доски;м2;178.00;Этап №0;Демонтаж;Полы
0-45;Демонтаж НЕ приклеенного линолеума, ламината, паркетной доски, старого паркета;м2;81.00;Этап №0;Демонтаж;Полы
0-46;Демонтаж старых дощатых полов с лагами, с наполнителем;м2;266.00;Этап №0;Демонтаж;Полы
0-47;Демонтаж НЕ приклеенной фанеры, оргалита;м2;69.00;Этап №0;Демонтаж;Полы
0-48;Демонтаж керамической плитки и плиточного клея;м2;252.00;Этап №0;Демонтаж;Полы
0-49;Демонтаж порожка (пластик, метал);м.пог.;53.00;Этап №0;Демонтаж;Полы
0-50;Демонтаж теплого пола (водяного);м2;315.00;Этап №0;Демонтаж;Полы
0-51;Демонтаж цементной стяжки до 5 см.;м2;230.00;Этап №0;Демонтаж;Полы
0-52;Демонтаж цементной стяжки до 10 см.;м2;280.00;Этап №0;Демонтаж;Полы
0-53;Демонтаж армированного бетонного основания сантехкабины;м2;1191.00;Этап №0;Демонтаж;Полы
0-54;Демонтаж бетонного бортика поддона;м.пог;424.00;Этап №0;Демонтаж;Полы
0-55;Демонтаж короба для труб водоснабжения, канализации;м.пог;125.00;Этап №0;Демонтаж;Полы
0-56;Очистка стяжки от остатков клея, мастики методом шлифования алмазной чашкой;м2;203.00;Этап №0;Демонтаж;Полы
0-13;Очистка потолка от масляной краски или клея;м2;230.00;Этап №0;Демонтаж;Потолок
